record_id,canonical_key,family_id,jurisdiction,application_number,publication_numbers,grant_numbers,title,filing_date,current_status,status_effective_date,inventors,assignees,continuity_type,parent_application,status_confidence,identity_confidence,record_confidence,evidence_coverage,decision,confidence_reasons,source_urls,retrieved_at
rec-5abf044d794ed450,US|application|16/171240,,,16/171240,US20200133369A1,US10860078B2,Managing power request during cluster operations,2018-10-25,Active,,Vaideeswaran Ganesan; Balamurugan Gnanasambandam; Tamilarasan Janakiram; Sreeram Muthuraman,,,,0.8,0.98,0.825,0.95,include,name=1.00;affiliation=1.00;collaborators=1.00;topic=0.90;timeline=1.00;creator_role=1.00;cross_source=0.80,https://patents.google.com/patent/US10860078B2/en,2026-08-07T17:40:00Z
rec-5ac99a7479cf99ea,US|application|17/828416,,,17/828416,US20220291856A1,US11947825B2,System and method for content addressable storage system update appliance,2022-05-31,Active,,Vaideeswaran Ganesan; Hemant Gaikwad; Pravin Janakiram,,,,0.8,0.98,0.825,0.95,include,name=1.00;affiliation=1.00;collaborators=1.00;topic=0.90;timeline=1.00;creator_role=1.00;cross_source=0.80,https://patents.google.com/patent/US11947825B2/en,2026-08-07T17:40:00Z
rec-70cf4c40382c0fc9,US|application|17/869295,,,17/869295,US20240028413A1,US12511169B2,Message parsing to determine cross-application dependencies among actions from different applications,2022-07-20,Active,,Vivek Bhargava; Vaideeswaran Ganesan; Rishav Sethia,,,,0.8,0.98,0.825,0.95,include,name=1.00;affiliation=1.00;collaborators=1.00;topic=0.90;timeline=1.00;creator_role=1.00;cross_source=0.80,https://patents.google.com/patent/US12511169B2/en,2026-08-07T17:40:00Z
rec-726ccbfa36bada1e,US|application|17/858913,,,17/858913,US20240012687A1,,Managing usage of resources in a hybrid computing environment,2022-07-06,Pending,,Vaideeswaran Ganesan; Pravin Janakiram,,,,0.8,0.98,0.825,0.95,include,name=1.00;affiliation=1.00;collaborators=1.00;topic=0.90;timeline=1.00;creator_role=1.00;cross_source=0.80,https://patents.google.com/patent/US20240012687A1/en,2026-08-07T17:40:00Z
rec-a24373cf8128d53f,US|application|17/409835,,,17/409835,US20230023869A1,,System and method for providing intelligent assistance using a warranty bot,2021-08-24,Abandoned,,Vaideeswaran Ganesan; Chandrasekhar R; Nidhi Kant Arora,,,,0.8,0.9729,0.825,0.7,include,name=1.00;affiliation=1.00;topic=0.90;timeline=1.00;creator_role=1.00;cross_source=0.80,https://patents.google.com/patent/US20230023869A1/en,2026-08-07T17:40:00Z
rec-a5c648db953c1709,US|application|17/124393,,,17/124393,US20220188385A1,US11954181B2,System and method for managing virtual hardware licenses of hardware resources accessed via application instances,2020-12-16,Active,,Vaideeswaran Ganesan; Viswanathan Balakrishnan,,,,0.8,0.9729,0.825,0.7,include,name=1.00;affiliation=1.00;topic=0.90;timeline=1.00;creator_role=1.00;cross_source=0.80,https://patents.google.com/patent/US11954181B2/en,2026-08-07T17:40:00Z
rec-a8bcb36dc2776dbf,US|application|17/586073,,,17/586073,US20230237027A1,US12117973B2,Server device updates using update baselines tagged across multiple management consoles,2022-01-27,Active,,Vaideeswaran Ganesan; Pravin Janakiram,,,,0.8,0.98,0.825,0.95,include,name=1.00;affiliation=1.00;collaborators=1.00;topic=0.90;timeline=1.00;creator_role=1.00;cross_source=0.80,https://patents.google.com/patent/US12117973B2/en,2026-08-07T17:40:00Z
rec-c3dfd3ca5fe51c49,US|application|17/871613,,,17/871613,US20240029016A1,US12614148B2,System and method for proactive management of components based on predicted component failures,2022-07-22,Active,,Vaideeswaran Ganesan; Sakshi Arora; Shrinidhi Katte; Sakshi Garg; Shubhangi Srivastava,,,,0.8,0.98,0.825,0.95,include,name=1.00;affiliation=1.00;collaborators=1.00;topic=0.90;timeline=1.00;creator_role=1.00;cross_source=0.80,https://patents.google.com/patent/US12614148B2/en,2026-08-07T17:40:00Z
rec-cd0dba4e545f8c17,US|application|16/171329,,,16/171329,US20200133681A1,US11048523B2,Enabling software sensor power operation requests via baseboard management controller (BMC),2018-10-25,Active,,Vaideeswaran Ganesan; Balamurugan Gnanasambandam; Tamilarasan Janakiram; Sreeram Muthuraman,,,,0.8,0.98,0.825,0.95,include,name=1.00;affiliation=1.00;collaborators=1.00;topic=0.90;timeline=1.00;creator_role=1.00;cross_source=0.80,https://patents.google.com/patent/US11048523B2/en,2026-08-07T17:40:00Z
rec-d587bb85bcec609f,US|application|17/409984,,,17/409984,US20230027027A1,,Systems and methods for warranty recommendation using multi-level collaborative filtering,2021-08-24,Abandoned,,Vaideeswaran Ganesan; Praveen Lalgoudar; Varsha Berya; Rushyendra Velamuri; Abhishek Gupta; Pandiyan Varadharajan,,,,0.8,0.9729,0.825,0.7,include,name=1.00;affiliation=1.00;topic=0.90;timeline=1.00;creator_role=1.00;cross_source=0.80,https://patents.google.com/patent/US20230027027A1/en,2026-08-07T17:40:00Z
rec-f4dacf85d4eda226,US|application|16/045334,,,16/045334,US20200034269A1,US11200141B2,Apparatus and method for troubleshooting poor part life zones in a datacenter,2018-07-25,Active,,Vaideeswaran Ganesan; Pravin Janakiram; Chandrasekhar Revuri,,,,0.8,0.98,0.825,0.95,include,name=1.00;affiliation=1.00;collaborators=1.00;topic=0.90;timeline=1.00;creator_role=1.00;cross_source=0.80,https://patents.google.com/patent/US11200141B2/en,2026-08-07T17:40:00Z
